,nose_x,nose_y,nose_likelihood,left_ear_x,left_ear_y,left_ear_likelihood,right_ear_x,right_ear_y,right_ear_likelihood,left_ear_tip_x,left_ear_tip_y,left_ear_tip_likelihood,right_ear_tip_x,right_ear_tip_y,right_ear_tip_likelihood,left_eye_x,left_eye_y,left_eye_likelihood,right_eye_x,right_eye_y,right_eye_likelihood,neck_x,neck_y,neck_likelihood,mid_back_x,mid_back_y,mid_back_likelihood,mouse_center_x,mouse_center_y,mouse_center_likelihood,mid_backend_x,mid_backend_y,mid_backend_likelihood,mid_backend2_x,mid_backend2_y,mid_backend2_likelihood,mid_backend3_x,mid_backend3_y,mid_backend3_likelihood,tail_base_x,tail_base_y,tail_base_likelihood,tail1_x,tail1_y,tail1_likelihood,tail2_x,tail2_y,tail2_likelihood,tail3_x,tail3_y,tail3_likelihood,tail4_x,tail4_y,tail4_likelihood,tail5_x,tail5_y,tail5_likelihood,left_shoulder_x,left_shoulder_y,left_shoulder_likelihood,left_midside_x,left_midside_y,left_midside_likelihood,left_hip_x,left_hip_y,left_hip_likelihood,right_shoulder_x,right_shoulder_y,right_shoulder_likelihood,right_midside_x,right_midside_y,right_midside_likelihood,right_hip_x,right_hip_y,right_hip_likelihood,tail_end_x,tail_end_y,tail_end_likelihood,head_midpoint_x,head_midpoint_y,head_midpoint_likelihood
frame0000,311.09,8.492,0.1990000009536743,316.5576585365854,7.396682926829268,0.1159999966621398,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,329.74068292682927,7.846243902439024,0.1659999936819076,Unnamed: 13_level_1,Unnamed: 14_level_1,Unnamed: 15_level_1,311.952,8.218,0.1000000014901161,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,1285.0665365853658,413.9789268292683,0.4289999902248382,967.732,471.566,0.7960000038146973,973.4150243902438,470.1834390243903,0.8140000104904175,1272.893268292683,470.0774634146341,0.8529999852180481,1127.9246097560977,469.6449512195122,0.7350000143051147,1011.384,426.9231219512195,0.9020000100135804,1012.3618064516128,414.714731707317,0.671999990940094,999.774,413.3906341463414,0.5879999995231628,1079.984,9.534,0.2709999978542328,186.92,27.759483870967745,0.19200000166893,193.18665853658536,29.39717073170732,0.2044999897480011,Unnamed: 58_level_1,Unnamed: 59_level_1,Unnamed: 60_level_1,999.182,474.47,0.8399999737739563,1001.41,456.442,0.3659999966621399,957.2569756097562,471.6515853658536,0.1464999914169311,957.5349677419356,456.552,0.5490000247955322,966.872,440.722,0.9049999713897704,213.5310967741936,48.61229268292683,0.2669999897480011,Unnamed: 79_level_1,Unnamed: 80_level_1,Unnamed: 81_level_1
frame0001,311.1,8.494,0.1940000057220459,314.30219512195123,7.754829268292683,0.1124999970197677,1249.5018292682926,695.6117804878049,0.270000010728836,329.691512195122,7.856780487804879,0.1870000064373016,1232.671536585366,695.7107804878049,0.1430000066757202,Unnamed: 16_level_2,Unnamed: 17_level_2,Unnamed: 18_level_2,Unnamed: 19_level_2,Unnamed: 20_level_2,Unnamed: 21_level_2,Unnamed: 22_level_2,Unnamed: 23_level_2,Unnamed: 24_level_2,992.0423414634148,470.2811707317073,0.2000000029802322,971.9769268292682,471.0684146341463,0.8730000257492065,973.086024390244,470.5671951219513,0.7994999885559082,973.18943902439,463.9787317073171,0.496999979019165,984.414,440.566,0.5199999809265137,1012.1876129032258,426.6421463414634,0.8889999985694885,1012.3803870967744,414.579512195122,0.7210000157356262,1012.1295483870967,413.6101463414634,0.6240000128746033,1079.876,9.57,0.2879999876022339,183.48395594020457,31.56763808025177,0.2304999977350235,189.5289819040126,31.760100708103856,0.1500000059604644,Unnamed: 58_level_2,Unnamed: 59_level_2,Unnamed: 60_level_2,986.017268292683,472.33753658536585,0.6315000057220459,1000.93,456.4126451612904,0.3140000104904175,957.1346097560976,471.6614146341464,0.1375000029802322,957.5373170731708,464.8150243902439,0.5715000033378601,975.7300645161292,440.704,0.8299999833106995,231.42029268292683,48.66673170731708,0.4390000104904175,Unnamed: 79_level_2,Unnamed: 80_level_2,Unnamed: 81_level_2
0,311.078,8.496,0.1959999948740005,314.2867804878049,7.756682926829269,0.1164999976754188,1243.4048780487803,695.584975609756,0.4659999907016754,329.72312195121947,7.881365853658537,0.1959999948740005,1257.5239024390244,695.3654634146341,0.2380000054836273,311.852,8.234,0.1000000014901161,,,,,,,972.4240487804876,471.3986341463415,0.1579999923706054,972.0729024390243,470.9521463414634,0.8995000123977661,973.2665609756098,470.3998048780488,0.8170000314712524,973.021975609756,463.8472682926829,0.5174999833106995,980.8684146341463,448.0273414634146,0.351500004529953,1008.7629024390244,423.8737073170731,0.9164999723434448,1012.32,414.5268292682927,0.6489999890327454,1012.0993548387096,413.6979512195122,0.6230000257492065,1079.884,9.464,0.3039999902248382,183.53247521636507,31.4926640440598,0.221000000834465,202.3779512195122,21.01873170731708,0.1400000005960464,983.292,490.508,0.2029999941587448,979.536463414634,471.8586585365854,0.5979999899864197,1030.7055483870968,456.4474838709678,0.2919999957084656,957.1003170731708,471.70597560975614,0.1235000044107437,957.5826829268292,464.8830487804878,0.5320000052452087,972.0078780487806,441.9641219512195,0.8474999666213989,231.4413658536585,48.68956097560975,0.44200000166893,,,
1,311.138,8.482,0.1659999936819076,,,,,,,329.71785365853657,7.877853658536585,0.1809999942779541,,,,,,,,,,,,,991.9668292682928,470.06165853658536,0.1439999938011169,972.0779268292684,471.1098048780488,0.8999999761581421,973.6002926829268,470.19236585365854,0.840999960899353,973.2522195121952,464.1833170731708,0.6150000095367432,1114.2280975609756,539.661268292683,0.3554999828338623,1008.6257317073172,424.2401219512195,0.930500030517578,1017.409512195122,411.07585365853663,0.737500011920929,1011.528,407.554,0.5960000157356262,1064.544,8.344,0.1959999948740005,183.4633642800944,31.632613690007872,0.2064999938011169,189.35325885129816,24.663823760818254,0.1124999970197677,986.1471219512196,486.8405365853658,0.1365000009536743,986.4003658536584,472.62248780487806,0.6729999780654907,975.1018536585366,470.7397317073171,0.4490000009536743,957.1342195121952,471.7935853658537,0.1270000040531158,957.5221951219512,464.81109756097567,0.5954999923706055,971.9710487804878,442.0274878048781,0.8659999966621399,231.40975609756097,48.60878048780488,0.4399999976158142,,,
2,311.1,8.526,0.1800000071525573,,,,,,,989.704975609756,498.3910243902439,0.2150000035762787,,,,,,,,,,1258.3650731707316,723.2329756097561,0.1309999972581863,971.780731707317,478.6618292682927,0.2355000078678131,972.0799024390244,470.7129268292683,0.9350000023841858,982.151,463.47136585365854,0.8255000114440918,979.8128292682928,455.422,0.6004999876022339,245.6780487804878,6.892682926829268,0.1609999984502792,1007.9013658536584,423.1903170731707,0.9679999947547911,1016.426,414.6620487804879,0.8560000061988831,1008.6751463414636,410.6368780487805,0.7259999513626099,1080.01,9.398,0.2599999904632568,183.4740708103855,31.64258379228953,0.2259999960660934,202.27258536585367,21.28741463414634,0.1260000020265579,986.8336341463414,487.8296097560975,0.2919999957084656,986.1816341463416,472.9744146341464,0.778499960899353,1009.8377073170732,457.2655609756097,0.3554999828338623,957.0366097560976,472.0246097560976,0.3835000097751617,957.7610731707316,465.25841463414633,0.8645000457763672,972.005975609756,441.9532926829269,0.9199999570846558,231.3869268292683,48.52448780487805,0.4070000052452087,,,
3,311.048,8.528,0.1860000044107437,,,,,,,329.6950243902439,7.886634146341462,0.1840000003576278,,,,311.914,8.26,0.1019999980926513,,,,1257.4870243902435,721.3592195121952,0.1700000017881393,1104.5418780487803,597.7202926829268,0.1305000036954879,972.3683170731708,470.9387073170732,0.6614999771118164,981.0948780487804,463.376487804878,0.5910000205039978,980.5297804878048,463.0606585365854,0.3614999949932098,245.7114146341464,6.831219512195122,0.1480000019073486,1008.496,424.4448292682927,0.6714999675750732,1024.3035161290322,9.089612903225806,0.1334999948740005,999.166,410.1922195121952,0.4009999930858612,1080.004,9.384,0.2669999897480011,183.3947348544453,31.753161290322584,0.2164999991655349,202.3059512195122,21.131121951219512,0.1309999972581863,,,,979.581024390244,479.0902682926829,0.265500009059906,1018.5506341463416,457.37385365853663,0.2949999868869781,957.243,471.96246341463416,0.1679999977350235,957.5503414634148,464.55731707317074,0.4695000052452087,980.5361219512196,441.5958536585366,0.6620000004768372,231.3834146341464,48.55082926829268,0.4059999883174896,,,
4,311.068,8.512,0.1850000023841858,316.56819512195125,7.42829268292683,0.125,1257.4273170731706,710.8384390243903,0.1030000001192092,329.7090731707317,7.877853658536585,0.1850000023841858,,,,311.906,8.276,0.1040000021457672,,,,,,,,,,,,,,,,,,,1145.2767238394963,550.4214476789929,0.2139999866485595,1123.6802903225807,31.99041935483871,0.1730000078678131,1024.3010322580644,9.093612903225807,0.1344999969005584,1047.716,8.396,0.1360000073909759,1080.018,9.388,0.2669999897480011,189.51804878048785,35.294048780487806,0.3529999852180481,1144.496,8.254,0.2649999856948852,,,,,,,,,,963.4688780487804,472.0161951219512,0.1120000034570694,,,,976.7414634146344,442.944,0.4650000035762787,231.4501463414634,48.61580487804879,0.3980000019073486,,,
5,311.036,8.518,0.1909999996423721,316.51726829268296,7.40019512195122,0.1190000027418136,,,,329.71785365853657,7.884878048780489,0.1739999949932098,,,,311.854,8.298,0.1070000007748603,,,,,,,,,,,,,,,,,,,599.3803414634147,7.281951219512194,0.1590000092983245,975.3305806451614,8.960516129032259,0.2090000063180923,1016.93,8.576,0.1400000005960464,1047.738,8.5,0.1220000013709068,1079.804,9.148,0.2419999986886978,189.5619512195122,35.22731707317073,0.3600000143051147,189.38906058221875,24.830653029110938,0.1290000081062317,,,,,,,1257.3131707317073,596.9151219512196,0.1289999932050705,,,,987.0573170731708,440.9780975609756,0.2820000052452087,1004.2226341463416,442.7701463414634,0.2800000011920929,231.47121951219512,48.59121951219512,0.3970000147819519,,,
6,310.642,8.728,0.2509999871253967,314.4378780487805,7.883585365853658,0.1490000039339065,,,,329.5510243902439,7.92,0.2150000035762787,,,,311.852,8.392,0.1389999985694885,,,,,,,,,,,,,,,,,,,606.8737317073171,6.930536585365854,0.1535000056028366,596.7062596380803,8.351603461841071,0.181999996304512,1016.852,8.514,0.1439999938011169,1047.784,8.502,0.1099999994039535,1079.502,8.826,0.2349999994039535,189.60585365853652,35.04819512195122,0.4110000133514404,189.32351848937844,24.95352321007081,0.1389999985694885,,,,,,,1264.9233611329662,591.1666215578285,0.125,,,,1004.1488780487804,441.8359024390244,0.6399999856948853,994.5521463414634,418.2367804878049,0.3345000147819519,231.44663414634144,48.57892682926829,0.4070000052452087,,,
7,310.99,8.52,0.2199999988079071,316.8070243902439,7.616195121951219,0.1500000059604644,,,,329.5756097560976,7.928780487804877,0.1879999935626983,,,,311.9,8.28,0.1070000007748603,,,,,,,,,,,,,,,,,,,599.3497804878049,7.296292682926829,0.1534999907016754,967.988,7.767219512195122,0.1539999991655349,1016.896,8.502,0.1519999951124191,1047.664,8.682,0.1319999992847442,1079.54,8.964,0.2520000040531158,1080.872,7.594,0.1840000003576278,189.402089693155,24.97105586152636,0.135000005364418,,,,,,,1257.4571707317073,597.0468292682928,0.163000002503395,,,,,,,,,,231.3131707317073,48.40858536585365,0.414000004529953,,,
