,nose_x,nose_y,nose_p,left_ear_x,left_ear_y,left_ear_p,right_ear_x,right_ear_y,right_ear_p,left_ear_tip_x,left_ear_tip_y,left_ear_tip_p,right_ear_tip_x,right_ear_tip_y,right_ear_tip_p,left_eye_x,left_eye_y,left_eye_p,right_eye_x,right_eye_y,right_eye_p,neck_x,neck_y,neck_p,mid_back_x,mid_back_y,mid_back_p,mouse_center_x,mouse_center_y,mouse_center_p,mid_backend_x,mid_backend_y,mid_backend_p,mid_backend2_x,mid_backend2_y,mid_backend2_p,mid_backend3_x,mid_backend3_y,mid_backend3_p,tail_base_x,tail_base_y,tail_base_p,tail1_x,tail1_y,tail1_p,tail2_x,tail2_y,tail2_p,tail3_x,tail3_y,tail3_p,tail4_x,tail4_y,tail4_p,tail5_x,tail5_y,tail5_p,left_shoulder_x,left_shoulder_y,left_shoulder_p,left_midside_x,left_midside_y,left_midside_p,left_hip_x,left_hip_y,left_hip_p,right_shoulder_x,right_shoulder_y,right_shoulder_p,right_midside_x,right_midside_y,right_midside_p,right_hip_x,right_hip_y,right_hip_p,tail_end_x,tail_end_y,tail_end_p,head_midpoint_x,head_midpoint_y,head_midpoint_p,Movement_nose,Movement_left_ear,Movement_right_ear,Movement_left_ear_tip,Movement_right_ear_tip,Movement_left_eye,Movement_right_eye,Movement_neck,Movement_mid_back,Movement_mouse_center,Movement_mid_backend,Movement_mid_backend2,Movement_mid_backend3,Movement_tail_base,Movement_tail1,Movement_tail2,Movement_tail3,Movement_tail4,Movement_tail5,Movement_left_shoulder,Movement_left_midside,Movement_left_hip,Movement_right_shoulder,Movement_right_midside,Movement_right_hip,Movement_tail_end,Movement_head_midpoint,All_bp_movements_Animal_1_sum,All_bp_movements_Animal_1_mean,All_bp_movements_Animal_1_min,All_bp_movements_Animal_1_max,Mean_All_bp_movements_Animal_1_mean_2,Sum_All_bp_movements_Animal_1_mean_2,Mean_All_bp_movements_Animal_1_mean_5,Sum_All_bp_movements_Animal_1_mean_5,Mean_All_bp_movements_Animal_1_mean_6,Sum_All_bp_movements_Animal_1_mean_6,Mean_All_bp_movements_Animal_1_mean_7.5,Sum_All_bp_movements_Animal_1_mean_7.5,Mean_All_bp_movements_Animal_1_mean_15,Sum_All_bp_movements_Animal_1_mean_15,Sum_probabilities,Mean_probabilities,Low_prob_detections_0.1,Low_prob_detections_0.5,Low_prob_detections_0.75,Grooming,Thigmotaxis
0,667.966,101.511,1,650.7253,84.513,0.987,637.8504,99.45277,0.666,652.995,75.868,0.897,622.3798,99.38579,0.409,660.706,94.12831,0.976,658.727,99.33195,0.948,642.4012,88.129074,0.987,636.254,78.477196,0.999,630.4546,67.736,1,632.52844,57.109,1,631.43787,47.615376,0.998,632.58636,40.22758,0.999,636.5907,32.322628,1,644.813,18.695,0.91,144.0243,150.62723,0.997,657.948,9.5975065,0.999,663.1219,10.620467,0.993,677.245,10.662545,0.993,647.3922,79.425354,0.988,646.647,66.56131,0.999,650.318,49.212536,1,615.456,86.447685,0.996,614.508,70.563225,1,614.4813,46.826183,1,698.35,14.714866,0.988,659.554,98.382,0.986,675.6353,656.1904,645.5571,657.3876,630.2652,667.3774,666.1742,648.4181,641.07556,634.08295,635.1013,633.2306,633.86414,637.41077,645.0839,208.4024,658.018,663.2069,677.3289,652.24615,650.0636,652.1774,621.4976,618.5461,616.2629,698.505,666.8512,17089.963,632.9616,208.4024,698.505,632.9616,632.9616,632.9616,632.9616,632.9616,632.9616,632.9616,632.9616,632.9616,632.9616,25.715,0.9524074,0,1,2,0,0
1,669.20166,108.45886,0.999,652.793,84.649,0.985,1219.4415,84.19388,0.60150003,655.8433,81.501854,0.915,627.755,92.687,0.384,1220.361,99.32239,0.967,660.031,100.427,0.99,643.622,90.191,0.976,636.638,79.52166,0.999,628.7609,68.00634,1,631.9633,56.519,1,631.71185,47.710754,0.998,633.26337,40.353313,0.999,636.5305,33.664837,1,644.979,18.795,0.89,144.42546,150.54448,0.997,657.818,9.56852,0.999,663.1265,10.470857,0.995,677.83044,9.952831,0.993,647.80176,81.075226,0.989,646.589,67.01373,1,650.185,49.425312,1,615.01434,86.55896,0.997,614.202,68.7514,1,615.0799,46.818268,1,698.6826,14.596657,0.995,660.162,98.878,0.992,7.0568843,2.0722167,581.79126,6.312949,8.588737,559.6791,1.702822,2.3962388,1.1128073,1.7151045,0.8169859,0.2901136,0.6885784,1.3435574,0.19380729,0.40959918,0.13319726,0.14968242,0.9200243,1.6999427,0.4561236,0.25092137,0.45545265,1.8374745,0.5986241,0.35302094,0.784627,1183.81,43.84482,0.13319726,581.79126,338.4032,676.8064,338.4032,676.8064,338.4032,676.8064,338.4032,676.8064,338.4032,676.8064,25.660501,0.95038897,0,1,2,0,0
0,666.745,108.788,1.0,654.1827,86.08021,0.955,637.008,107.803345,0.84,655.63763,83.776,0.942,1197.7506,79.112305,0.8815,1222.7509,95.704254,0.98399997,660.19586,108.25292,0.98800004,643.569,90.852,0.965,637.055,79.8293,0.999,628.8845,68.362595,1.0,632.1783,56.451,1.0,631.3304,47.83792,0.995,634.1201,40.67033,1.0,637.76636,34.833973,1.0,644.933,20.394268,0.782,144.1384,150.51332,0.996,658.231,9.567584,1.0,663.2369,10.268883,0.994,677.38995,10.487,0.996,648.4694,83.082,0.969,646.8882,70.53849,1.0,650.659,51.541714,1.0,618.1808,86.5599,0.994,615.049,68.8234,1.0,615.4646,47.360104,1.0,698.75464,13.715463,0.994,659.68,100.24551,0.982,2.4786158,1.9948616,582.91187,2.28343,570.1572,4.336182,7.8276563,0.6631201,0.51819384,0.3770853,0.22546488,0.40210763,0.9135212,1.7012287,1.5999299,0.28874964,0.41302598,0.23015414,0.69236463,2.1149278,3.5374331,2.1688318,3.166443,0.85003954,0.6645176,0.88413244,1.4499644,1194.8511,44.253742,0.22546488,582.91187,44.04928,88.09856,240.3534,721.0602,240.3534,721.0602,240.3534,721.0602,240.3534,721.0602,26.256498,0.9724629,0.0,0.0,0.0,0.0,0.0
1,665.905,115.96944,0.999,655.128,92.048,0.826,637.102,109.05313,0.891,659.853,83.52,0.913,631.42377,103.83546,0.8565,1222.7583,95.62689,0.978,660.034,108.43415,0.991,644.50024,96.511246,0.9355,636.753,83.435,0.997,630.14185,70.50296,1.0,632.64,57.837505,1.0,631.873,48.81,0.998,634.3974,42.44353,1.0,634.94183,35.39501,1.0,645.038,18.685,0.844,143.89807,150.5649,0.997,657.793,10.104716,0.999,663.0527,10.475533,0.99,677.37494,10.609,0.994,652.052,84.683,0.985,647.4464,71.22412,1.0,650.9348,51.233143,1.0,620.812,90.77803,0.993,616.038,69.891,1.0,616.14044,48.177673,1.0,699.0899,14.476298,0.995,659.28894,106.932,0.985,7.2303905,6.042195,1.2533159,4.22316,566.8662,0.0777196,0.24299008,5.7353606,3.618323,2.4823434,1.4613665,1.1132643,1.79475,2.8797047,1.7124932,0.24579768,0.6930691,0.2768308,0.1229202,3.9240384,0.8841423,0.41387373,4.971517,1.4553041,1.0607464,0.83142906,6.6979184,628.31116,23.270784,0.0777196,566.8662,33.762264,67.52453,186.08273,744.33093,186.08273,744.33093,186.08273,744.33093,186.08273,744.33093,26.167002,0.9691482,0.0,0.0,0.0,0.0,0.0
2,664.315,116.52499,1.0,659.805,98.29827,0.979,637.074,109.63451,0.956,661.437,92.427,0.988,635.808,106.156,0.947,661.23517,108.48443,0.987,659.719,110.363106,0.991,644.617,100.309,0.986,638.7378,85.107,1.0,632.679,72.003,1.0,633.031,58.814648,1.0,632.21,49.318,0.997,633.9804,42.652054,1.0,635.37006,35.904625,1.0,645.016,17.124779,0.893,144.19075,150.60895,0.997,658.111,10.4091425,0.999,664.42676,11.210493,0.977,676.94617,10.394,0.994,652.675,86.5066,0.992,648.43945,72.779106,1.0,651.5538,53.663643,1.0,620.853,91.643,0.997,616.936,71.072,1.0,617.1765,48.433434,1.0,699.00714,13.691221,0.99,658.1713,107.61743,0.999,1.6842865,7.8064256,0.5820497,9.046754,4.96047,561.6703,1.9545062,3.7995467,2.5951955,2.9474308,1.0524644,0.6096366,0.4662234,0.6656426,1.5603763,0.29597548,0.4402215,1.5582924,0.4796566,1.9270784,1.8450233,2.5080748,0.86593926,1.4836015,1.0671729,0.7894276,1.3110608,615.9729,22.81381,0.29597548,561.6703,23.042297,46.084595,153.42896,767.1448,153.42896,767.1448,153.42896,767.1448,153.42896,767.1448,26.668999,0.9877407,0.0,0.0,0.0,0.0,0.0
3,663.72394,118.499,1.0,658.182,100.658,0.991,636.821,109.882744,0.99,661.46936,93.004,0.988,628.961,106.63948,0.976,659.164,110.21588,0.999,650.925,114.086685,1.0,647.2972,101.39427,0.999,638.8012,86.32052,1.0,633.2776,71.707,1.0,633.117,58.896,1.0,633.715,50.009,0.995,633.8654,42.27797,1.0,635.0129,36.178,1.0,644.601,18.803,0.888,144.79294,150.4714,0.998,658.66,10.173507,0.998,662.99097,10.642909,0.976,677.37286,10.669391,0.9945,651.71173,86.534,0.999,647.947,72.96031,1.0,650.95844,52.34213,1.0,620.488,93.31948,0.995,616.563,71.91833,1.0,617.18304,48.963223,1.0,697.9562,12.519585,0.992,654.50684,112.21039,1.0,2.060604,2.8639815,0.3544379,0.57790196,6.8640337,2.699567,9.549848,2.8915672,1.215172,0.66775954,0.118380465,1.656055,0.3913591,0.44978952,1.728766,0.61769617,0.5973864,1.5439066,0.50784856,0.96364635,0.5247137,1.4494226,1.7157675,0.9248734,0.5298292,1.5739309,5.87569,50.913933,1.8857012,0.118380465,9.549848,12.349756,24.699512,27.213772,136.06886,128.17174,769.03046,128.17174,769.03046,128.17174,769.03046,26.778502,0.9917964,0.0,0.0,0.0,0.0,0.0
4,661.9091,122.13994,1.0,659.131,103.346,0.994,636.522,110.61994,0.998,661.924,99.79737,0.997,628.394,106.889145,0.994,658.7336,114.08727,1.0,650.2432,115.74421,1.0,646.94904,104.21194,0.999,639.749,87.72686,1.0,635.89325,74.81828,1.0,633.5869,62.220158,1.0,633.151,51.304,0.999,633.9417,42.605297,1.0,635.46545,36.65361,1.0,644.396,21.241076,0.942,144.34036,150.62723,0.999,658.283,10.435325,0.997,664.80396,10.944935,0.979,677.24274,10.544,0.99,654.72314,92.784355,1.0,650.845,75.214,1.0,651.29913,51.658,1.0,623.8628,99.19236,0.998,616.671,74.51,0.999,617.9461,49.051342,1.0,696.9106,12.187636,0.995,654.252,115.087,1.0,4.0681686,2.8505993,0.79553026,6.80857,0.61954826,3.8952448,1.7922574,2.8390915,1.6959214,4.0646973,3.357207,1.4124997,0.33610147,0.6565276,2.4466808,0.47864965,0.45895782,1.8379734,0.18070951,6.937982,3.6711314,0.7642684,6.7734847,2.5939255,0.76813275,1.097021,2.8878744,66.088745,2.4477313,0.18070951,6.937982,2.166716,4.333432,18.934355,94.67177,23.086098,138.51659,110.211174,771.4782,110.211174,771.4782,26.880001,0.9955556,0.0,0.0,0.0,0.0,0.0
5,658.8,125.27355,1.0,656.2379,108.161194,0.998,636.473,112.4986,1.0,661.479,101.18256,0.999,632.19275,107.68862,0.999,656.8373,115.887764,1.0,645.75616,117.76406,1.0,645.24036,106.22472,1.0,639.63617,91.692535,0.999,636.32416,75.84125,1.0,634.741,62.912106,1.0,633.1,52.46,0.999,632.61255,42.51179,1.0,635.5206,36.402077,1.0,643.868,21.087402,0.937,143.91211,150.65947,0.997,652.7978,9.034007,0.97249997,666.5421,11.487482,0.9375,677.27,10.954,0.965,650.716,94.156364,1.0,651.453,76.980156,1.0,651.6129,54.488956,1.0,624.0831,99.70065,0.999,617.957,75.824,1.0,617.654,49.37803,1.0,696.3756,9.496478,0.994,651.969,116.28215,1.0,4.414321,5.6174655,1.8792921,1.4549195,3.8819833,2.6149049,4.920723,2.6402395,3.9672809,1.1100172,1.3456488,1.1571238,1.3324476,0.25751403,0.5499231,0.42946514,5.6613984,1.8208665,0.41090754,4.2355156,1.867892,2.848292,0.55399483,1.8385458,0.43824086,2.7438166,2.5769303,62.569675,2.3173954,0.25751403,5.6613984,2.3825634,4.7651267,10.547085,52.735424,16.164862,96.98917,20.11914,140.83398,96.72445,773.7956,26.796,0.99244446,0.0,0.0,0.0,0.0,0.0
6,653.211,126.696625,1.0,654.8578,109.61486,0.999,636.213,112.49486,1.0,660.508,104.342964,0.999,628.757,107.818,0.999,653.6214,116.80457,1.0,643.112,120.072624,1.0,644.80194,106.893135,1.0,639.0527,92.50878,0.999,636.8765,76.57995,1.0,635.043,63.6826,1.0,633.167,52.287,0.999,632.4153,42.822,1.0,632.562,37.385765,1.0,643.655,21.098148,0.905,144.02618,150.57779,0.998,649.0816,9.258217,0.9365,666.96625,11.5480175,0.936,676.74927,11.59618,0.97099996,651.112,95.02972,1.0,652.142,77.397194,1.0,650.838,54.725372,1.0,624.4399,99.664116,0.999,621.47394,76.789406,1.0,618.113,49.71224,1.0,697.0741,9.7242985,0.947,649.824,117.7286,1.0,5.7673163,2.0044694,0.26003665,3.3062043,3.4381652,3.3440144,3.5101388,0.7993697,1.003357,0.92238253,0.8275651,0.1855272,0.3676171,3.1178622,0.21322262,0.14030221,3.722944,0.42843154,0.8267872,0.9589352,0.8054051,0.8101643,0.35861662,3.647064,0.5677698,0.7347008,2.587146,44.655514,1.6539079,0.14030221,5.7673163,1.9856517,3.9713035,6.223709,31.118546,9.064888,54.38933,14.091867,98.643074,86.16106,775.4495,26.687502,0.98842597,0.0,0.0,0.0,0.0,0.0
7,647.174,127.28852,1.0,653.70575,113.03626,1.0,635.5107,112.282,1.0,658.4774,106.72764,1.0,630.152,107.578,0.999,651.8493,117.567406,1.0,638.9871,119.869255,1.0,643.8831,108.68454,1.0,640.0306,93.84312,1.0,636.912,78.28364,1.0,635.739,64.70973,1.0,633.856,55.91221,0.999,632.923,43.021,0.999,633.004,37.084675,1.0,0.0,0.0,0.0,143.77278,150.35104,0.998,234.82452,405.2575,0.8555,667.173,11.72,0.895,676.391,11.768,0.838,651.741,98.45409,0.999,651.80524,78.41015,1.0,651.1777,54.48358,1.0,624.7827,100.02412,1.0,622.3863,78.07605,1.0,618.16113,51.19761,1.0,236.23854,432.01028,0.879,647.21265,118.29815,1.0,6.065934,3.6101503,0.7338794,3.1320791,1.4154534,1.9293091,4.129888,2.0132976,1.6543125,1.7040585,1.2407247,3.6901088,0.5452991,0.5348215,644.00073,0.34003896,573.0832,0.26891214,0.39734614,3.4816642,1.0674765,0.41693178,0.49712765,1.5772893,1.4861511,625.0559,2.672718,1886.7449,69.87944,0.26891214,644.00073,35.766674,71.53335,15.636835,78.18417,16.832998,100.997986,17.752682,124.26877,84.53289,845.3289,25.4615,0.9430185,1.0,1.0,1.0,0.0,0.0
